,Time,Command,Righthip,Pitch,Pitchdot
111,2955,-14.892857142857142,171.42857142857142,-1.5,13.5625
112,2980,-15.361607142857142,171.42857142857142,-1.1875,14.500000000000002
113,3008,-16.017857142857142,171.42857142857142,-0.75,15.312500000000002
114,3033,-16.674107142857142,171.42857142857142,-0.3125,15.4375
115,3060,-17.121428571428574,171.21428571428572,0.0,16.5625
116,3085,-17.777678571428574,171.21428571428572,0.4375,17.625
117,3111,-18.289285714285715,171.64285714285714,0.75,20.1875
118,3137,-19.205357142857142,171.42857142857142,1.375,21.6875
119,3164,-20.142857142857142,171.42857142857142,2.0,22.75
120,3191,-20.777678571428574,171.21428571428572,2.4375,24.000000000000004
121,3218,-21.924107142857142,171.42857142857142,3.1875,25.25
122,3245,-22.955357142857142,171.42857142857142,3.875,25.5625
123,3270,-23.726785714285715,171.64285714285714,4.375,25.687500000000004
124,3298,-24.830357142857142,171.42857142857142,5.125,25.5
125,3324,-25.976785714285715,171.64285714285714,5.875,25.5
126,3351,-26.726785714285715,171.64285714285714,6.375,25.3125
127,3377,-27.851785714285715,171.64285714285714,7.125,24.562500000000004
128,3403,-28.861607142857142,171.42857142857142,7.8125,25.0
129,3430,-29.633035714285715,171.64285714285714,8.3125,26.625
130,3456,-30.758035714285715,171.64285714285714,9.0625,27.875
131,3483,-31.998214285714287,171.85714285714286,9.875,27.75
132,3510,-32.82053571428571,171.64285714285714,10.4375,27.8125
133,3535,-34.03928571428571,171.64285714285714,11.25,27.5625
134,3562,-34.88303571428571,171.64285714285714,11.8125,26.4375
135,3588,-36.00803571428571,171.64285714285714,12.5625,24.000000000000004
136,3614,-36.68571428571428,171.85714285714286,13.0,22.3125
137,3640,-37.738392857142856,172.07142857142858,13.6875,18.875
138,3666,-38.46696428571428,171.85714285714286,14.1875,16.8125
139,3692,-39.050892857142856,172.07142857142858,14.5625,15.375000000000002
140,3719,-39.66428571428571,171.64285714285714,15.0,14.375
141,3745,-40.34196428571428,171.85714285714286,15.4375,13.0
142,3771,-40.738392857142856,172.07142857142858,15.6875,10.1875
143,3797,-41.18571428571428,171.85714285714286,16.0,8.375
144,3823,-41.46696428571428,171.85714285714286,16.1875,3.8125
145,3850,-41.65446428571428,171.85714285714286,16.3125,0.5
146,3875,-41.65446428571428,171.85714285714286,16.3125,-3.875
147,3902,-41.582142857142856,172.07142857142858,16.25,-7.375000000000001
148,3927,-41.394642857142856,172.07142857142858,16.125,-10.25
149,3954,-41.113392857142856,172.07142857142858,15.9375,-13.8125
150,3979,-40.550892857142856,172.07142857142858,15.5625,-19.5625
151,4005,-39.988392857142856,172.07142857142858,15.1875,-23.125
152,4030,-39.050892857142856,172.07142857142858,14.5625,-27.875
153,4056,-37.71696428571428,171.85714285714286,13.6875,-32.75
154,4081,-36.77946428571428,171.85714285714286,13.0625,-36.0
155,4108,-35.207142857142856,172.07142857142858,12.0,-37.25
156,4133,-34.082142857142856,172.07142857142858,11.25,-37.125
157,4161,-32.46696428571428,171.85714285714286,10.1875,-36.3125
158,4186,-31.435714285714287,171.85714285714286,9.5,-32.9375
159,4215,-30.029464285714287,171.85714285714286,8.5625,-30.0625
160,4241,-28.789285714285715,171.64285714285714,7.75,-25.9375
161,4268,-27.664285714285715,171.64285714285714,7.0,-23.25
162,4295,-27.008035714285715,171.64285714285714,6.5625,-20.75
163,4322,-25.976785714285715,171.64285714285714,5.875,-17.875
164,4348,-25.226785714285715,171.64285714285714,5.375,-17.0625
165,4374,-24.736607142857142,171.42857142857142,5.0625,-15.937500000000002
166,4401,-24.008035714285715,171.64285714285714,4.5625,-16.375
167,4428,-23.258035714285715,171.64285714285714,4.0625,-16.25
168,4455,-22.789285714285715,171.64285714285714,3.75,-16.0
169,4480,-22.060714285714287,171.85714285714286,3.25,-16.4375
