,Time,Command,Righthip,Pitch,Pitchdot
119,2958,-8.375,-2.7857142857142847,8.375,0.12217304763960307
120,2983,-8.125,-3.4285714285714306,8.125,0.22143864884678055
121,3009,-7.6875,-4.5,7.6875,0.24652775684419906
122,3034,-7.4375,-4.5,7.4375,0.23889194136672387
123,3060,-7.0,-4.285714285714285,7.0,0.29343348049154666
124,3085,-6.5625,-4.5,6.5625,0.2977968036215325
125,3112,-6.125,-5.142857142857146,6.125,0.2203478180642841
126,3136,-5.875,-5.142857142857146,5.875,0.13308135546456762
127,3164,-5.75,-4.928571428571431,5.75,-0.017453292519943295
128,3189,-5.8125,-5.142857142857146,5.8125,-0.04581489286485115
129,3216,-5.875,-5.142857142857146,5.875,-0.008726646259971648
130,3245,-5.875,-5.142857142857146,5.875,0.013089969389957472
131,3272,-5.8125,-5.142857142857146,5.8125,0.05672320068981571
132,3298,-5.6875,-4.714285714285715,5.6875,0.16907877128695067
133,3325,-5.375,-5.142857142857146,5.375,0.27598018797160334
134,3351,-5.0,-4.928571428571431,5.0,0.31306843457648287
135,3376,-4.625,-5.142857142857146,4.625,0.33052172709642613
136,3403,-4.0625,-5.142857142857146,4.0625,0.30543261909900765
137,3428,-3.75,-5.142857142857146,3.75,0.25634523388666713
138,3456,-3.3125,-6.428571428571431,3.3125,0.3076142806640006
139,3481,-2.6875,-4.714285714285715,2.6875,0.48978302134090873
140,3508,-2.25,-4.5,2.25,0.34143003492139073
141,3533,-1.75,-4.285714285714285,1.75,0.25743606466916363
142,3559,-1.25,-3.857142857142854,1.25,0.4265148359561143
143,3584,-0.625,-3.0,0.625,0.36106498900632694
144,3610,-0.1875,-2.7857142857142847,0.1875,0.33052172709642613
145,3635,0.375,-3.0,-0.375,0.26725354171163174
146,3662,0.75,-3.2142857142857153,-0.75,0.19634954084936207
147,3687,1.0625,-1.7142857142857153,-1.0625,0.1505346479845109
148,3713,1.1875,-1.0714285714285694,-1.1875,0.03490658503988659
149,3738,1.25,-0.6428571428571459,-1.25,-0.04254240051736178
150,3764,1.125,-1.0714285714285694,-1.125,-0.11017390903214205
151,3789,0.9375,0.4285714285714306,-0.9375,-0.20943951023931956
152,3816,0.5625,0.8571428571428541,-0.5625,-0.20289452554434081
153,3842,0.125,1.0714285714285694,-0.125,-0.3959715740462135
154,3869,-0.25,0.8571428571428541,0.25,-0.34797501961636945
155,3894,-0.8125,0.8571428571428541,0.8125,-0.43196898986859655
156,3921,-1.4375,0.8571428571428541,1.4375,-0.681769239060285
157,3947,-2.6875,0.8571428571428541,2.6875,-0.842121364087264
158,3976,-3.6875,0.8571428571428541,3.6875,-0.26070855701665296
159,4003,-4.0625,0.0,4.0625,-0.11017390903214205
160,4028,-3.9375,-0.8571428571428541,3.9375,0.21162117180431245
161,4054,-3.4375,-2.142857142857146,3.4375,0.3490658503988659
162,4080,-3.0,-2.142857142857146,3.0,0.49632800603588745
163,4107,-1.875,-2.142857142857146,1.875,0.8639379797371931
164,4132,-0.5625,-2.142857142857146,0.5625,0.6697701004528239
165,4160,0.0,-2.7857142857142847,0.0,0.6021385919380436
166,4185,0.9375,-1.7142857142857153,-0.9375,0.5846852994181004
167,4211,1.625,-0.6428571428571459,-1.625,0.6610434541928523
